INSTITUCION OFERTANTE,PROFESION,SEDE DE ADJUDICACION,N° PLAZAS,DIRESA GERESA DIRIS,INSTITUCION,DEPARTAMENTO,PROVINCIA,DISTRITO,GRADO DE DIFICULTAD,CODIGO RENIPRESS,NOMBRE DE ESTABLECIMIENTO,CATEGORIA,PRESUPUESTO,ZAF,ZE
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,CONDORCANQU I,NIEVA,GD-4,00007134,NIEVA,I-3,SIN PRESUPUESTO,SI,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,ANTONIO RAIMONDI,LLAMELLIN,GD-4,00001847,CENTRO DE SALUD LLAMELLIN,I-3,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,CARHUAZ,ACOPAMPA,GD-3,00001521,CENTRO DE SALUD ACOPAMPA,I-3,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,CARHUAZ,ANTA,GD-4,00001528,CENTRO DE SALUD ANTA,I-3,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,CARHUAZ,MARCARA,GD-4,00001534,CENTRO DE SALUD MARCARA,I-3,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,CARHUAZ,PARIAHUANCA,GD-4,00001538,PARIHUANCA,I-1,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,CASMA,BUENA VISTA ALTA,GD-3,00001723,CENTRO DE SALUD BUENAVISTA,I-3,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,CASMA,CASMA,GD-2,00031617,PUESTO DE SALUD VILLA HERMOSA,I-2,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARAZ,COCHABAMBA,GD-5,00001730,PUESTO DE SALUD COCHABAMBA,I-2,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,2,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARAZ,HUANCHAY,GD-4,00001748,PUESTO DE SALUD HUANCHAY HZ,I-2,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARAZ,HUARAZ,GD-3,00001562,CENTRO DE SALUD HUARUPAMPA,I-3,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARAZ,INDEPENDENCIA,GD-2,00001574,CENTRO DE SALUD MONTERREY,I-3,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARAZ,INDEPENDENCIA,GD-3,00001559,PUESTO DE SALUD MARIAN,I-2,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARAZ,INDEPENDENCIA,GD-2,00001573,PUESTO DE SALUD PARIA,I-1,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARI,CHAVIN DE HUANTAR,GD-4,00001824,CENTRO DE SALUD CHAVIN,I-3,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARI,MASIN,GD-4,00001840,PUESTO DE SALUD MASIN,I-2,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARI,RAHUAPAMPA,GD-4,00001836,CENTRO DE SALUD RAHUAPAMPA,I-2,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARI,SAN MARCOS,GD-4,00001819,CENTRO DE SALUD SAN MARCOS,I-3,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARI,UCO,GD-5,00001846,PUESTO DE SALUD UCO,I-2,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARMEY,CULEBRAS,GD-2,00001743,PUESTO DE SALUD CULEBRAS,I-2,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARMEY,HUARMEY,GD-2,00001744,CENTRO DE SALUD LA VICTORIA,I-3,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUARMEY,HUARMEY,GD-3,00001742,PUESTO DE SALUD PUERTO HUARMEY,I-2,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUAYLAS,CARAZ,GD-4,00001590,PUESTO DE SALUD YURACOTO,I-1,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,HUAYLAS,PUEBLO LIBRE,GD-5,00001611,CENTRO DE SALUD PUEBLO LIBRE,I-3,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,RECUAY,TICAPAMPA,GD-3,00001474,PUESTO DE SALUD TICAPAMPA,I-1,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,SANTA,CHIMBOTE,GD-2,00001656,PUESTO DE SALUD CAMBIO PUENTE,I-2,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,SANTA,CHIMBOTE,GD-3,00001665,PUESTO DE SALUD CASCAJAL,I-2,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,SANTA,CHIMBOTE,GD-3,00001660,CENTRO DE SALUD LA UNIÓN,I-3,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,SANTA,CHIMBOTE,GD-3,00001669,CENTRO DE SALUD MAGDALENA NUEVA,I-3,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,SANTA,CHIMBOTE,GD-3,00001653,CENTRO DE SALUD SAN JUAN,I-3,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,SANTA,CHIMBOTE,GD-3,00001661,PUESTO DE SALUD SAN PEDRO,I-2,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,SANTA,CHIMBOTE,GD-3,00001663,PUESTO DE SALUD TUPAC AMARU,I-2,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,SANTA,MORO,GD-2,00001716,CENTRO DE SALUD MORO,I-3,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,SANTA,NEPEÑA,GD-2,00001714,CENTRO DE SALUD NEPEÑA,I-3,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,SANTA,NEPEÑA,GD-2,00001715,CENTRO DE SALUD SAN JACINTO,I-3,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,2,ANCASH,GOBIERNO REGIONAL,ANCASH,SANTA,NUEVO CHIMBOTE,GD-1,00027144,CENTRO DE SALUD MENTAL COMUNITARIO NUEVO PUERTO,I-3,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,SANTA,NUEVO CHIMBOTE,GD-2,00001707,PUESTO DE SALUD SATELITE,I-2,SIN PRESUPUESTO,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,YUNGAY,RANRAHIRCA,GD-4,00001646,PUESTO DE SALUD RANRAHIRCA,I-1,SIN PRESUPUESTO,NO,NO
APURIMAC,MEDICINA,SEDE CENTRAL,1,APURIMAC,GOBIERNO REGIONAL,APURIMAC,ABANCAY,ABANCAY,GD-3,00002663,VILLAGLORIA,I-3,SIN PRESUPUESTO,NO,NO
