INSTITUCION OFERTANTE,PROFESION,SEDE DE ADJUDICACION,N° PLAZAS,DIRESA GERESA DIRIS,INSTITUCION,DEPARTAMENTO,PROVINCIA,DISTRITO,GRADO DE DIFICULTAD,CODIGO RENIPRESS,NOMBRE DE ESTABLECIMIENTO,CATEGORIA,PRESUPUESTO,ZAF (*),ZE (**)
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,BAGUA,ARAMANGO,GD-4,00005056,EL MUYO,I-3,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,BAGUA,ARAMANGO,GD-4,00005059,TUTUMBEROS,I-2,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,BAGUA,BAGUA,GD-2,00007276,LA PRIMAVERA,I-2,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,BAGUA,IMAZA,GD-5,00005070,IMAZA,I-3,REGIONAL,SI,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,BAGUA,IMAZA,GD-5,00005089,WAWAS,I-2,REGIONAL,SI,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,BONGARA,YAMBRASBAMB A,GD-4,00004936,PROGRESO,I-2,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,CHACHAPOYAS,CHILIQUIN,GD-4,00004879,VITUYA,I-2,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,CHACHAPOYAS,QUINJALCA,GD-4,00004872,QUINJALCA,I-2,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,CONDORCANQU I,RIO SANTIAGO,GD-5,00005175,GALILEA,I-3,REGIONAL,SI,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,LUYA,CAMPORREDON DO,GD-4,00004873,CAMPORREDOND O,I-3,REGIONAL,SI,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,LUYA,CAMPORREDON DO,GD-5,00004874,COCOCHO,I-3,REGIONAL,SI,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,LUYA,OCUMAL,GD-5,00004844,SAN JUAN DE OCUMAL,I-2,REGIONAL,SI,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,LUYA,SANTA CATALINA,GD-5,00004913,SALAZAR,I-3,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,LUYA,TRITA,GD-5,00004855,TRITA,I-1,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,GD-4,00004947,NUEVO CHIRIMOTO,I-3,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,GD-4,00007054,EL DORADO,I-2,REGIONAL,SI,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,GD-3,00005126,MIRAFLORES,I-3,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,UTCUBAMBA,JAMALCA,GD-3,00005139,JAMALCA,I-3,REGIONAL,NO,NO
AMAZONAS,MEDICINA,SEDE CENTRAL,1,AMAZONAS,GOBIERNO REGIONAL,AMAZONAS,UTCUBAMBA,YAMON,GD-4,00005117,EL PALTO,I-3,REGIONAL,SI,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,ANTONIO RAIMONDI,ACZO,GD-5,00001839,PUESTO DE SALUD UCHUPATA,I-2,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,ANTONIO RAIMONDI,MIRGAS,GD-5,00001852,PUESTO DE SALUD MIRGAS,I-2,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,BOLOGNESI,CAJACAY,GD-2,00001484,CENTRO DE SALUD CAJACAY,I-3,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,CARHUAZ,ATAQUERO,GD-4,00001522,PUESTO DE SALUD ATAQUERO,I-2,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,CARHUAZ,CARHUAZ,GD-3,00007267,PUESTO DE SALUD HUALCAN,I-2,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,CARHUAZ,CARHUAZ,GD-4,00001517,PUESTO DE SALUD MAYA,I-2,REGIONAL,NO,NO
ANCASH,MEDICINA,SEDE CENTRAL,1,ANCASH,GOBIERNO REGIONAL,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,GD-5,00001539,PUESTO DE SALUD SAN MIGUEL DE ACO,I-1,REGIONAL,NO,NO
